Chembl IDs	Drug generic name	Drug type	Target gene name	Target gene ID	Target type	Action type	Mechanism af action	Disease indication	Disease indication ID	Approval year	Genetically supported drugs	First genetic evidence reported		Genetic evidence 5y prior approval	Genetically discovered drugs	Drug trade names
CHEMBL1201824	ALGLUCOSIDASE ALFA	Enzyme	GAA	ENSG00000171298	missing enzyme	HYDROLYTIC ENZYME	Starch hydrolytic enzyme	Pompe Disease	Orphanet_365	2006	YES [manual curation]		1986	YES	YES	Lumizyme, Myozyme
CHEMBL4594320	AVALGLUCOSIDASE ALFA	Enzyme	GAA	ENSG00000171298	missing enzyme	HYDROLYTIC ENZYME	Glycogen hydrolytic enzyme	Pompe Disease	Orphanet_365	2021	YES [manual curation]		1986	YES	YES	Nexviazyme
CHEMBL1201632	IMIGLUCERASE	Enzyme	GBA	ENSG00000177628	missing enzyme	HYDROLYTIC ENZYME	Glucocerebroside hydrolytic enzyme	Gaucher Disease	MONDO_0018150	1994	YES [manual curation]		1987	YES	YES	Cerezyme
CHEMBL1201865	VELAGLUCERASE ALFA	Enzyme	GBA	ENSG00000177628	missing enzyme	HYDROLYTIC ENZYME	Glucocerebroside hydrolytic enzyme	Gaucher Disease	MONDO_0018150	2010	YES [manual curation]		1987	YES	YES	Vpriv
CHEMBL1964120	TALIGLUCERASE ALFA	Enzyme	GBA	ENSG00000177628	missing enzyme	HYDROLYTIC ENZYME	Glucocerebroside hydrolytic enzyme	Gaucher Disease	MONDO_0018150	2012	YES [manual curation]		1987	YES	YES	Elelyso
CHEMBL2108888	AGALSIDASE BETA	Enzyme	GLA	ENSG00000102393	missing enzyme	HYDROLYTIC ENZYME	Globotriosylceramide hydrolytic enzyme	Fabry Disease	MONDO_0010526	2003	YES [manual curation]		1989	YES	YES	Fabrazyme
CHEMBL110458	MIGALASTAT	Small molecule	GLA	ENSG00000102393	single protein	STABILISER	Alpha-galactosidase A stabiliser	Fabry Disease	MONDO_0010526	2018	YES		1989	YES	YES	At-1001, gr-181314a,Galafold
CHEMBL3039537	SEBELIPASE ALFA	Enzyme	LIPA	ENSG00000107798	missing enzyme	HYDROLYTIC ENZYME	Cholesterol ester hydrolytic enzyme	Lysosomal Acid Lipase Deficiency	Orphanet_275761	2015	YES [manual curation]		1993	YES	YES	Kanuma
CHEMBL1201595	LARONIDASE	Enzyme	IDUA	ENSG00000127415	missing enzyme	HYDROLYTIC ENZYME	Dermatan sulfate hydrolytic enzyme	Mucopolysaccharidosis I	Orphanet_79213	2003	YES [manual curation]		1995	YES	YES	Aldurazyme
CHEMBL1201826	IDURSULFASE	Enzyme	IDS	ENSG00000010404	missing enzyme	HYDROLYTIC ENZYME	Heparan sulfate hydrolytic enzyme	Mucopolysaccharidosis Type II	Orphanet_580	2006	YES [manual curation]		1991	YES	YES	Elaprase
CHEMBL2108676	ELOSULFASE ALFA	Enzyme	GALNS	ENSG00000141012	missing enzyme	HYDROLYTIC ENZYME	N-acetylgalactosamine-6-sulfatase enzyme	Mucopolysaccharidosis Type IVa	Orphanet_309297	2014	YES [manual curation]		1992	YES	YES	Vimizim
CHEMBL1201822	GALSULFASE	Enzyme	ARSB	ENSG00000113273	missing enzyme	HYDROLYTIC ENZYME	N-acetylgalactosamine 4-sulfatase enzyme	Mucopolysaccharidosis Type Vii	Orphanet_583	2005	YES [manual curation]		1991	YES	YES	Naglazyme
CHEMBL3707382	VESTRONIDASE ALFA	Enzyme	GUSB	ENSG00000169919	missing enzyme	HYDROLYTIC ENZYME	Glycosaminoglycans hydrolytic enzyme	Mucopolysaccharidosis Type VII	Orphanet_584	2017	YES [manual curation]		1991	YES	YES	Mepsevii
CHEMBL3544921	CERLIPONASE ALFA	Enzyme	PPT1	ENSG00000131238	missing enzyme	PROTEOLYTIC ENZYME	Polypeptides proteolytic enzyme	Neuronal Ceroid Lipofuscinosis Type 2 Disease	Orphanet_228349	2017	YES [manual curation]		1997	YES	YES	Brineura
CHEMBL4297802	PEGVALIASE	Enzyme	PAH	ENSG00000171759	missing enzyme	HYDROLYTIC ENZYME	Phenylalanine hydrolytic enzyme	Phenylketonuria	Orphanet_716	2018	YES [manual curation]		1986	YES	YES	Palynziq
CHEMBL4298010	VELMANASE ALFA	Enzyme	MAN2B1	ENSG00000104774	missing enzyme	HYDROLYTIC ENZYME	High mannose oligosaccharides hydrolytic enzym	Alpha-Mannosidosis	Orphanet_61	2018	YES [manual curation]		1997	YES	YES	Lamzede
CHEMBL4650275	LUMASIRAN	Oligonucleotide	HAO1	ENSG00000101323	nucleic-acid	RNAI INHIBITOR	Hydroxyacid oxidase 1 mRNA RNAi inhibitor	Primary Hyperoxaluria Type 1	Orphanet_93598	2020	YES [manual curation]		1991	YES	YES	Oxlumo
CHEMBL4594265	GIVOSIRAN	Oligonucleotide	ALAS1	ENSG00000023330	nucleic-acid	RNAI INHIBITOR	5-aminolevulinate synthase mRNA RNAi inhibitor	Acute Hepatic Porphyria	Orphanet_95157	2019	YES [manual curation]		1991	YES	YES	Givlaari
CHEMBL2219536	MIPOMERSEN	Oligonucleotide	APOB	ENSG00000084674	nucleic-acid	ANTISENSE INHIBITOR	Apo-B 100 mRNA antisense inhibitor	Familial Hypercholesterolemia	EFO_0004911	2013	YES		1986	YES	YES	Kynamro
CHEMBL3301624	SETMELANOTIDE	Protein	MC4R	ENSG00000166603	single protein	AGONIST	Melanocortin receptor 4 agonist	Obesity	EFO_0001073	2020	YES		1998	YES	YES	Imcivree
CHEMBL2107857	METRELEPTIN	Protein	LEPR	ENSG00000116678	single protein	AGONIST	Leptin receptor agonist	Lipodystrophy	EFO_1000727	2014	YES [manual curation]		1998	YES	YES	Myalept
CHEMBL2108304	ALIPOGENE TIPARVOVEC [EMA only]	Gene	LPL	ENSG00000175445	single protein	HYDROLYTIC ENZYME	Triglyceride hydrolytic enzyme	Lipoprotein Lipase Deficiency	Orphanet_309015	2012	YES [manual curation]		1991	YES	YES	Glybera
CHEMBL3990046	ELIVALDOGENE AUTOTEMCEL [EMA only]	Gene	ABCD1	ENSG00000101986	single protein	POSITIVE MODULATOR	Adrenoleukodystrophy protein modulator	Cerebral Adrenoleukodystrophy	Orphanet_139396	2021	YES [manual curation]		1993	YES	YES	Skysona
CHEMBL2338675	FOSDENOPTERIN	Small molecule	MOCS1	ENSG00000124615	single protein	STIMULANT	Molybdenum cofactor stimulant	Molybdenum Cofactor Deficiency, Type A	Orphanet_308386	2021	YES [manual curation]		1998	YES	YES	Nulibry
CHEMBL4298189	ELADOCAGENE EXUPARVOVEC [EMA only]	Gene	DDC	ENSG00000196839	missing enzyme	GENE THERAPY	Aromatic-L-amino-acid decarboxylase enzyme	Aromatic L-Amino Acid Decarboxylase (Aadc) Deficiency	Orphanet_35708	2022	YES [manual curation]		1998	YES	YES	Upstaza
CHEMBL4802262	ATIDARSAGENE AUTOTEMCEL [EMA only]	Gene	ARSA	ENSG00000100299	single protein	GENE THERAPY	Autologous CD34 positive enriched cells transduced with retroviral encoding human ADA	Metachromatic Leukodystrophy	Orphanet_309263	2006	YES [manual curation]		1988	YES	YES	Libmeldy
CHEMBL4594311	BETIBEGLOGENE AUTOTEMCEL	Gene	HBB	ENSG00000244734	single protein	POSITIVE MODULATOR	Hemoglobin beta chain positive modulator	Β-Thalassaemia	Orphanet_848	2019	YES [manual curation]		1981	YES	YES	Zynteglo
CHEMBL3301572	NUSINERSEN	Oligonucleotide	SMN2	ENSG00000205571	nucleic-acid	POSITIVE MODULATOR	SMN2 pre-mRNA positive modulator	Spinal Muscular Atrophy	EFO_0008525	2016	YES [manual curation]		1996	YES	YES	Spinraza
CHEMBL4297528	RISDIPLAM	Small molecule	SMN2	ENSG00000205571	nucleic-acid	POSITIVE MODULATOR	SMN2 pre-mRNA positive modulator	Spinal Muscular Atrophy	EFO_0008525	2020	YES [manual curation]		1996	YES	YES	Evrysdi
CHEMBL4297240	ONASEMNOGENE ABEPARVOVEC	Gene	SNM1	ENSG00000172062	single protein	GENE THERAPY	Survival motor neuron protein positive modulator	Spinal Muscular Atrophy	EFO_0008525	2019	YES [manual curation]		1996	YES	YES	Zolgensma
CHEMBL4297566	CASIMERSEN	Oligonucleotide	DMD	ENSG00000198947	nucleic-acid	POSITIVE MODULATOR	Dystrophin pre-mRNA positive modulator	Duchenne Muscular Dystrophy	Orphanet_98473	2021	YES		1986	YES	YES	Amondys 45
CHEMBL2108278	ETEPLIRSEN	Oligonucleotide	DMD	ENSG00000198947	nucleic-acid	POSITIVE MODULATOR	Dystrophin pre-mRNA positive modulator	Duchenne Muscular Dystrophy	Orphanet_98473	2016	YES		1986	YES	YES	Exondys 51
CHEMBL4298062	VILTOLARSEN	Oligonucleotide	DMD	ENSG00000198947	nucleic-acid	POSITIVE MODULATOR	Dystrophin pre-mRNA positive modulator	Duchenne Muscular Dystrophy	Orphanet_98473	2020	YES		1986	YES	YES	Viltepso
CHEMBL4297762	GOLODIRSEN	Oligonucleotide	DMD	ENSG00000198947	nucleic-acid	POSITIVE MODULATOR	Dystrophin pre-mRNA positive modulator	Duchenne Muscular Dystrophy	Orphanet_98473	2019	YES		1986	YES	YES	Vyondys 53
CHEMBL4297879	ALPHA-1-TRYPSIN INHIBITOR	Enzyme	SERPINA1	ENSG00000197249	missing enzyme	INHIBITOR	Alpha1-Proteinase Inhibitor	Alpha-1 Antitrypsin Deficiency	Orphanet_60	1987	YES [manual curation]		1989	YES	YES	Prolastin-C, Aralast, Glassia, Zemaira
CHEMBL2103870	LUMACAFTOR	Small molecule	CFTR	ENSG00000001626	single protein	STABILISER	Cystic fibrosis transmembrane conductance regulator stabiliser	Cystic Fibrosis	Orphanet_586	2015	YES		1989	YES	YES	Orkambi
CHEMBL3544914	TEZACAFTOR	Small molecule	CFTR	ENSG00000001626	single protein	POSITIVE MODULATOR	Cystic fibrosis transmembrane conductance regulator positive modulator	Cystic Fibrosis	Orphanet_586	2018	YES		1989	YES	YES	Symdeko, Trikafta
CHEMBL2010601	IVACAFTOR	Small molecule	CFTR	ENSG00000001626	single protein	POSITIVE MODULATOR	Cystic fibrosis transmembrane conductance regulator positive modulator	Cystic Fibrosis	Orphanet_586	2012	YES		1989	YES	YES	Kalydeco, Orkambi, Symdeko, Trikafta
CHEMBL4298128	ELEXACAFTOR	Small molecule	CFTR	ENSG00000001626	single protein	POSITIVE MODULATOR	Cystic fibrosis transmembrane conductance regulator positive modulator	Cystic Fibrosis	Orphanet_586	2019	YES		1989	YES	YES	Trikafta
CHEMBL4297549	HUMAN C1-ESTERASE INHIBITOR	Protein	C1NH	ENSG00000131187	single protein	INHIBITOR	Coagulation factor XII inhibitor	Hereditary Angioedema	Orphanet_91378	2008	YES [manual curation]		1987	YES	YES	Berinert, Cinryze, Haegarda
CHEMBL2108350	CONESTAT ALFA	Protein	C1NH	ENSG00000131187	single protein	INHIBITOR	Coagulation factor XII inhibitor	Hereditary Angioedema	Orphanet_91378	2014	YES [manual curation]		1987	YES	YES	Berinert, Cinryze, Haegarda
CHEMBL1201514	PEGADEMASE BOVINE	Enzyme	ADA	ENSG00000196839	missing enzyme	HYDROLYTIC ENZYME	Adenosine deaminase enzyme	Severe Combined Immunodeficiency	Orphanet_183660	1990	YES [manual curation]		1986	YES	YES	
CHEMBL3990026	ELAPEGADEMASE	Enzyme	ADA	ENSG00000196839	missing enzyme	HYDROLYTIC ENZYME	Adenosine deaminase enzyme	Severe Combined Immunodeficiency	Orphanet_183660	2018	YES [manual curation]		1986	YES	YES	PTC-AADC
NA	AUTOLOGOUS CD34+ CELLS TRANSDUCED TO EXPRESS ADA [EMA only]	Gene	ADA	ENSG00000196839	Absent gene	POSITIVE MODULATOR	Autologous CD34 positive enriched cells transduced with retroviral encoding human ADA	Severe Combined Immunodeficiency	Orphanet_183660	2016	YES [manual curation]		1986	YES	YES	Strimvelis
CHEMBL3707275	VORETIGENE NEPARVOVEC	Gene	RPE65	ENSG00000116745	single protein	POSITIVE MODULATOR	Retinoid isomerohydrolase positive modulator	Leber Congenital Amaurosis	Orphanet_65	2017	YES [manual curation]		1993	YES	YES	Luxturna
CHEMBL3545191	EVINACUMAB	Antibody	ANGPTL3	ENSG00000132855	single protein	INHIBITOR	Angiopoietin-related protein 3 inhibitor	Familial Hypercholesterolemia	EFO_0004911, Orphanet_391665	2021	YES [manual curation]		2010	YES	YES	Evkeeza
CHEMBL2109540	ALIROCUMAB	Antibody	PCSK9	ENSG00000169174	single protein	INHIBITOR	Subtilisin/kexin type 9 inhibitor	Coronary Artery Disease, Cardiovascular Disease	EFO_0000319, EFO_0001645	2015	YES		2003	YES	YES	Praluent
CHEMBL2109540	ALIROCUMAB	Antibody	PCSK9	ENSG00000169174	single protein	INHIBITOR	Subtilisin/kexin type 9 inhibitor	Familial Hypercholesterolemia, Homozygous Familial Hypercholesterolemia	Orphanet_391665	2015	YES		2003	YES	YES	Praluent
CHEMBL2364655	EVOLOCUMAB	Antibody	PCSK9	ENSG00000169174	single protein	INHIBITOR	Subtilisin/kexin type 9 inhibitor	Coronary Artery Disease, Cardiovascular Disease	EFO_0000319, EFO_0001645	2015	YES		2003	YES	YES	Repatha,Repatha sureclick
CHEMBL2364655	EVOLOCUMAB	Antibody	PCSK9	ENSG00000169174	single protein	INHIBITOR	Subtilisin/kexin type 9 inhibitor	Familial Hypercholesterolemia, Homozygous Familial Hypercholesterolemia	EFO_0004911, Orphanet_391665	2015	YES		2003	YES	YES	Repatha,Repatha sureclick
CHEMBL3990033	INCLISIRAN	Oligonucleotide	PCSK9	ENSG00000169174	nucleic-acid	RNAI INHIBITOR	PCSK9 mRNA RNAi inhibitor	Hypercholesterolemia, Cardiovascular Disease	EFO_0000319	2021	YES		2003	YES	YES	Leqvio
CHEMBL3544994	VOLANESORSEN [EMA only]	Oligonucleotide	LPL	ENSG00000175445	nucleic-acid	ANTISENSE INHIBITOR	Apolipoprotein C-III mRNA 3'UTR antisense inhibitor	Familial Chylomicronemia Syndrome	Orphanet_444490	2019	YES [manual curation]		1991	YES	YES	Waylivra
CHEMBL2103802	DAPAGLIFLOZIN	Small molecule	SLC5A2	ENSG00000140675	single protein	INHIBITOR	Sodium/glucose cotransporter 2 inhibitor	Diabetes Mellitus	MONDO_0005148	2014	YES [manual curation]		2002	YES	YES	Farxiga
CHEMBL1201187	MARAVIROC	Small molecule	CCR5	ENSG00000160791	single protein	ANTAGONIST	C-C chemokine receptor type 5 antagonist	HIV-1 Infection	EFO_0000180	2007	YES		1996	YES	YES	Celsentri,Selzentry
CHEMBL2107874	ROMOSOZUMAB	Antibody	SOST	ENSG00000167941	single protein	INHIBITOR	Sclerostin inhibitor	Osteoporosis	EFO_0003882	2019	YES		2001	YES	YES	Evenity
CHEMBL2108311	ASFOTASE ALFA	Enzyme	ALPL	ENSG00000162551	missing enzyme	HYDROLYTIC ENZYME	Pyrophosphate hydrolytic enzyme	Perinatal/Infantile And Juvenile Onset Hypophosphatasia	Orphanet_436	2015	YES [manual curation]		1998	YES	YES	Strensiq
CHEMBL1201834	CANAKINUMAB	Antibody	IL1B	ENSG00000125538	single protein	INHIBITOR	Interleukin-1 beta inhibitor	Cryopyrin-Associated Periodic Syndromes	Orphanet_208650	2009	YES [manual curation]		2001	YES	YES	Ilaris
CHEMBL1201830	RILONACEPT	Protein	IL1B	ENSG00000125538	single protein	INHIBITOR	Interleukin-1 beta inhibitor	Cryopyrin-Associated Periodic Syndromes	EFO_0007427	2008	YES [manual curation]		2001	YES	YES	Arcalyst
CHEMBL2103837	TAFAMIDIS	Small molecule	TTR	ENSG00000118271	single protein	STABILISER	Transthyretin stabiliser	Cardiomyopathy	EFO_0000318	2019	YES		1991	YES	YES	Vyndamax,Vyndaqel
CHEMBL4297537	INOTERSEN	Oligonucleotide	TTR	ENSG00000118271	nucleic-acid	ANTISENSE INHIBITOR	Transthyretin mRNA antisense inhibitor	Familial Amyloid Neuropathy	EFO_0004129	2018	YES		1993	YES	YES	Tegsedi
CHEMBL3989987	PATISIRAN	Oligonucleotide	TTR	ENSG00000118271	nucleic-acid	RNAI INHIBITOR	Transthyretin mRNA RNAi inhibitor	Familial Amyloid Neuropathy	EFO_0004129	2018	YES		1993	YES	YES	Onpattro
CHEMBL4594511	VUTRISIRAN	Oligonucleotide	TTR	ENSG00000118271	nucleic-acid	RNAI INHIBITOR	Transthyretin mRNA RNAi inhibitor	Familial Amyloid Neuropathy	EFO_0004129	2022	YES		1993	YES	YES	Amvuttra
CHEMBL3039540	ADUCANUMAB	Antibody	APP	ENSG00000142192	single protein	BINDING AGENT	Beta amyloid A4 protein binding agent	Alzheimer Disease	MONDO_0004975	2021	YES		1991	YES	NO	Aduhelm
CHEMBL1742982	AFLIBERCEPT	Protein	VEGFA	ENSG00000112715	single protein	INHIBITOR	Vascular endothelial growth factor A inhibitor	Diabetic Retinopathy	EFO_0003770	2011	YES		2002	YES	NO	Eylea, Zaltrap
CHEMBL2103883	AVATROMBOPAG	Small molecule	MPL	ENSG00000117400	single protein	AGONIST	Thrombopoietin receptor agonist	Thrombocytopenia	HP_0001873	2018	YES		1999	YES	NO	Doptelet 60 Mg Daily Dose Carton
CHEMBL2107831	LUSUTROMBOPAG	Small molecule	MPL	ENSG00000117400	single protein	AGONIST	Thrombopoietin receptor agonist	Thrombocytopenia	HP_0001873	2018	YES		1999	YES	NO	Mulpleta,S-888711
CHEMBL2028019	CARIPRAZINE	Small molecule	DRD3	ENSG00000151577	single protein	MODULATOR	Dopamine D3 receptor modulator	Schizophrenia	MONDO_0005090	2015	YES		1992	YES	NO	Reagila
CHEMBL184412	DRONEDARONE	Small molecule	KCNJ2	ENSG00000123700	single protein	BLOCKER	Inward rectifier potassium channel 2 blocker	Atrial Fibrillation, Cardiac Arrhythmia	EFO_0000275,EFO_0004269	2009	YES		2001	YES	NO	Multaq
CHEMBL184412	DRONEDARONE	Small molecule	SCN5A	ENSG00000183873	protein family	BLOCKER	Sodium channel alpha subunit blocker	Atrial Fibrillation, Cardiac Arrhythmia	EFO_0000275,EFO_0004269	2009	YES		1995	YES	NO	Multaq
CHEMBL461101	ELTROMBOPAG	Small molecule	MPL	ENSG00000117400	single protein	AGONIST	Thrombopoietin receptor agonist	Thrombocytopenia	HP_0001873	2008	YES		1999	YES	NO	Revolade
CHEMBL3833393	EMICIZUMAB	Antibody	F9	ENSG00000101981	selectivity group	OTHER	Coagulation factor IX and X other	Hemophilia A	Orphanet_98878	2017	YES		1985	YES	NO	Hemlibra
CHEMBL211456	EPHEDRINE	Small molecule	ADRB3	ENSG00000188778	protein family	AGONIST	Adrenergic receptor agonist	Obesity	EFO_0001073	2016	YES		1995	YES	NO	Akovaz, Bronkaid, Corphedra, Emerphed, Primatene, Rezipres
CHEMBL1201774	SAPROPTERIN	Small molecule	PAH	ENSG00000171759	single protein	ACTIVATOR	Phenylalanine-4-hydroxylase activator	Hyperphenylalaninemia, Phenylketonuria	Orphanet_238583, Orphanet_716	2007	YES		1986	YES	NO	Kuvan
CHEMBL4101807	VOXELOTOR	Small molecule	HBB	ENSG00000244734	protein complex	POSITIVE MODULATOR	Hemoglobin HbA positive modulator	Sickle Cell Anemia	Orphanet_232	2019	YES		1979	YES	NO	Oxbryta
CHEMBL3622821	UPADACITINIB	Small molecule	TYK2	ENSG00000105397	protein family	INHIBITOR	Janus Kinase (JAK) inhibitor	Rheumatoid Arthritis	EFO_0000685	2019	YES	2012		YES	NO	Rinvoq
CHEMBL1201833	GOLIMUMAB	Antibody	TNF	ENSG00000232810	single protein	INHIBITOR	TNF-alpha inhibitor	Psoriatic Arthritis	EFO_0003778	2009	YES		2003 [UniProt]	YES	NO	Simponi
CHEMBL1201497, CHEMBL2104391	INSULIN GLARGINE, INSULIN DETEMIR	Protein	INSR	ENSG00000171105	single protein	AGONIST	Insulin receptor agonist	diabetes mellitus  Mellitus	MONDO_0005148	2000	YES		1992	YES	NO	Abasaglar,Abasaglar kwikpen,Basaglar,Ins lantus,Ins lantus opticlik,Ins lantus optiset,Ins lantus solostar,Lantus,Lantus solostar,Toujeo,Toujeo max solostar,Toujeo solostar
CHEMBL1201753	PITAVASTATIN	Small molecule	HMGCR	ENSG00000113161	single protein	INHIBITOR	HMG-CoA reductase inhibitor	Hyperlipidemia, Hypercholesterolemia, Hyperlipidemia	MONDO_0021187, HP_0003124, MONDO_0021187	2017	YES		2008	YES	NO	Livalo, Zypitamag, Nikita
CHEMBL1201753	PITAVASTATIN	Small molecule	HMGCR	ENSG00000113161	single protein	INHIBITOR	HMG-CoA reductase inhibitor	Familial Hypercholesterolemia	EFO_0004911	2017	YES		2008	YES	NO	Livalo, Zypitamag, Nikita
CHEMBL1201832	ROMIPLOSTIM	Protein	MPL	ENSG00000117400	single protein	AGONIST	Thrombopoietin receptor agonist	Thrombocytopenia	HP_0001873	2008	YES		2001	YES	NO	Nplate
CHEMBL41355	EZOGABINE	Small molecule	KCNQ2	ENSG00000075043	protein family	OPENER	KCNQ (Kv7) potassium channel opener	Seizure	HP_0001250	2011	YES		1998	YES	NO	Potiga,Trobalt
CHEMBL41355	EZOGABINE	Small molecule	KCNQ3	ENSG00000184156	protein family	OPENER	KCNQ (Kv7) potassium channel opener	Seizure	HP_0001250	2011	YES		1998	YES	NO	Potiga,Trobalt
CHEMBL1201754	RUFINAMIDE	Small molecule	SCN4A	ENSG00000007314	protein family	BLOCKER	Sodium channel alpha subunit blocker	Seizure	HP_0001250	2008	YES		2001	YES	NO	Banzel,Inovelon,Rufinamide
CHEMBL1201754	RUFINAMIDE	Small molecule	SCN1A	ENSG00000144285	protein family	BLOCKER	Sodium channel alpha subunit blocker	Seizure, Epilepsy, Lennox-Gastaut Syndrome	HP_0001250,EFO_0000474, MONDO_0016532	2008	YES		2001	YES	NO	Banzel,Inovelon,Rufinamide
CHEMBL3989949	CENOBAMATE	Small molecule	SCN4A	ENSG00000007314	protein family	INHIBITOR	Sodium channel alpha subunit inhibitor	Epilepsy, Seizure	EFO_0000474, HP_0001250	2020	YES		2001	YES	NO	Xcopri
CHEMBL3989949	CENOBAMATE	Small molecule	GABRG2	ENSG00000113327	protein complex group	POSITIVE ALLOSTERIC MODULATOR	GABA-A receptor; anion channel positive allosteric modulator	Epilepsy, Seizure	EFO_0000474, HP_0001250	2020	YES		2001	YES	NO	Xcopri
CHEMBL3989949	CENOBAMATE	Small molecule	SCN2A	ENSG00000136531	protein family	INHIBITOR	Sodium channel alpha subunit inhibitor	Epilepsy, Seizure	EFO_0000474, HP_0001250	2020	YES		2004	YES	NO	Xcopri
CHEMBL3989949	CENOBAMATE	Small molecule	SCN1A	ENSG00000144285	protein family	INHIBITOR	Sodium channel alpha subunit inhibitor	Epilepsy, Seizure	EFO_0000474,HP_0001250	2020	YES		2001	YES	NO	Xcopri
CHEMBL3989949	CENOBAMATE	Small molecule	GABRA6	ENSG00000145863	protein complex group	POSITIVE ALLOSTERIC MODULATOR	GABA-A receptor; anion channel positive allosteric modulator	Epilepsy, Seizure	EFO_0000474, HP_0001250	2020	YES		2009	YES	NO	Xcopri
CHEMBL3989949	CENOBAMATE	Small molecule	SCN3A	ENSG00000153253	protein family	INHIBITOR	Sodium channel alpha subunit inhibitor	Epilepsy, Seizure	EFO_0000474, HP_0001250	2020	YES		2014	YES	NO	Xcopri
CHEMBL3989949	CENOBAMATE	Small molecule	GABRB1	ENSG00000163288	protein complex group	POSITIVE ALLOSTERIC MODULATOR	GABA-A receptor; anion channel positive allosteric modulator	Epilepsy, Seizure	EFO_0000474, HP_0001250	2020	YES		2013	YES	NO	Xcopri
CHEMBL3989949	CENOBAMATE	Small molecule	GABRB3	ENSG00000166206	protein complex group	POSITIVE ALLOSTERIC MODULATOR	GABA-A receptor; anion channel positive allosteric modulator	Epilepsy, Seizure	EFO_0000474, HP_0001250	2020	YES		2006	YES	NO	Xcopri
CHEMBL3989949	CENOBAMATE	Small molecule	SCN9A	ENSG00000169432	protein family	INHIBITOR	Sodium channel alpha subunit inhibitor	Epilepsy, Seizure	EFO_0000474,HP_0001250	2020	YES		2009	YES	NO	Xcopri
CHEMBL3989949	CENOBAMATE	Small molecule	GABRD	ENSG00000187730	protein complex group	POSITIVE ALLOSTERIC MODULATOR	GABA-A receptor; anion channel positive allosteric modulator	Epilepsy, Seizure	EFO_0000474, HP_0001250	2020	YES		2004	YES	NO	Xcopri
CHEMBL3989949	CENOBAMATE	Small molecule	SCN8A	ENSG00000196876	protein family	INHIBITOR	Sodium channel alpha subunit inhibitor	Epilepsy,Seizure	EFO_0000474,HP_0001250	2020	YES		2012	YES	NO	Xcopri
CHEMBL87992	ESLICARBAZEPINE ACETATE	Small molecule	SCN4A	ENSG00000007314	protein family	BLOCKER	Sodium channel alpha subunit blocker	Epilepsy,Seizure	EFO_0000474,HP_0001250	2009	YES		2001	YES	NO	Aptiom,Erelib,Pazzul,Stedesa,Zebinix
CHEMBL87992	ESLICARBAZEPINE ACETATE	Small molecule	SCN1A	ENSG00000144285	protein family	BLOCKER	Sodium channel alpha subunit blocker	Epilepsy,Seizure	EFO_0000474,HP_0001250	2009	YES		2001	YES	NO	Aptiom,Erelib,Pazzul,Stedesa,Zebinix
CHEMBL259571	TAPINAROF	Small molecule	AHR	ENSG00000106546	single protein	AGONIST	Aryl hydrocarbon receptor agonist	Psoriasis	EFO_0000676	2022	YES	2016		YES	NO	Vtama
CHEMBL695	TRIMETHADIONE	Small molecule	CACNA1H	ENSG00000196557	protein family	BLOCKER	Voltage-gated T-type calcium channel blocker	Epilepsy	EFO_0000474	1946	YES		2007	NO	NO	Tridione
CHEMBL1237022	TOCILIZUMAB	Antibody	IL6R	ENSG00000160712	single protein	INHIBITOR	Interleukin-6 receptor alpha subunit inhibitor	Juvenile Idiopathic Arthritis	EFO_0002609	2005	YES	2020		NO	NO	Actemra,Actemra roactemra,Roactemra
CHEMBL1237022	TOCILIZUMAB	Antibody	IL6R	ENSG00000160712	single protein	INHIBITOR	Interleukin-6 receptor alpha subunit inhibitor	Rheumatoid Arthritis	EFO_0000685	2005	YES	2012		NO	NO	Actemra,Actemra roactemra,Roactemra
CHEMBL4297517	MAVACAMTEN	Small molecule	MYH7	ENSG00000092054	single protein	ALOSTERIC INHIBITOR	Cardiac myosin ATPase inhibitor	Obstructive Hypertrophic Cardiomyopathy	EFO_0000538	2022	YES [manual curation]		1993	YES	NO	Camzyos
CHEMBL4299940	MITAPIVAT	Protein	PKLR	ENSG00000143627	single protein	ALLOSTERIC ACTIVATOR	Red-cell pyruvate kinase activator	Hemolytic anemia in adults with Pyruvate kinase (PK) deficiency	Orphanet_766	2022	YES [manual curation]		1991	NO	NO	Pyrukynd
CHEMBL1742982	AFLIBERCEPT	Protein	VEGFA	ENSG00000112715	single protein	INHIBITOR	Vascular endothelial growth factor A inhibitor	Age-Related Macular Degeneration	EFO_0001365	2011	YES	2011		NO	NO	Eylea,Zaltrap
CHEMBL1742982	AFLIBERCEPT	Protein	VEGFA	ENSG00000112715	single protein	INHIBITOR	Vascular endothelial growth factor A inhibitor	Wet Macular Degeneration	EFO_0004683	2011	YES	2015		NO	NO	Eylea,Zaltrap
CHEMBL3989949	CENOBAMATE	Small molecule	GABRA5	ENSG00000186297	protein complex group	POSITIVE ALLOSTERIC MODULATOR	GABA-A receptor; anion channel positive allosteric modulator	Epilepsy, Seizure	EFO_0000474, HP_0001250	2020	YES	2018	2018	NO	NO	Xcopri
CHEMBL1201421	PEGAPTANIB SODIUM	Oligonucleotide	VEGFA	ENSG00000112715	single protein	ANTAGONIST	Vascular endothelial growth factor A antagonist	Wet Macular Degeneration	EFO_0004683	2004	YES	2015		Although it is oligonucleotide therapy the discovery was not driven by genetics	NO	Macugen
