TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
Eos_Fra_Min_INT	eosinophil (fraction, minimum, inv-norm transformed)	EFO_0004842	
ESR_Max_INT	erythrocyte sedimentation rate (ESR, maximum, inv-norm transformed)	OBA_2045235	
ESR_Mean_INT	erythrocyte sedimentation rate (ESR, mean, inv-norm transformed)	OBA_2045235	
ESR_Min_INT	erythrocyte sedimentation rate (ESR, minimum, inv-norm transformed)	OBA_2045235	
FBrthLbsFrst_INT	What was the birth weight of your first child? (pounds, inv-norm transformed)	EFO_0004344	D001724
Ferritin_Max_INT	ferritin (maximum, inv-norm transformed)	EFO_0004459	
Ferritin_Mean_INT	ferritin (mean, inv-norm transformed)	EFO_0004459	
Ferritin_Min_INT	ferritin (minimum, inv-norm transformed)	EFO_0004459	
FMenoAge_INT	Age at menopause (inv-normal transformed)	EFO_0004704	
FPrdAge_INT	How old were you when you had your first menstrual period? (inv-normal transformed)	EFO_0004703	
GCST000018	Alzheimer's disease (late onset)	MONDO_0004975	D000544
GCST000033	Bipolar disorder	MONDO_0004985	D001714
GCST000044	Bipolar disorder	MONDO_0004985	D001714
GCST000046	Alzheimer's disease (late onset)	MONDO_0004975	D000544
GCST000051	Atrial fibrillation/atrial flutter	EFO_0000275	D001281
GCST000060	Obesity-related traits	EFO_0004338	D001835
GCST000060_2	Obesity-related traits	EFO_0004340	D015992
GCST000060_3	Obesity-related traits	EFO_0004343	D049629
GCST000064	Type 2 diabetes nephropathy	EFO_0000401;MONDO_0005148	D003928;D003924
GCST000067	Glaucoma (exfoliation)	EFO_0004235	D017889
GCST000073	Type 2 diabetes and 6 quantitative traits	EFO_0004467;EFO_0004468;MONDO_0005148	D003924
GCST000129	Obesity (early onset extreme)	EFO_0001073	D009765
GCST000158	Bipolar disorder	MONDO_0004985	D001714
GCST000220	Bipolar disorder	MONDO_0004985	D001714
GCST000239	Stroke (ischemic)	EFO_0000712	D020521
GCST000247	Attention deficit hyperactivity disorder symptoms (maternal expressed emotions interaction)	EFO_0003888;EFO_0008342	D001289
GCST000253	Attention deficit hyperactivity disorder and conduct disorder	EFO_0003888;EFO_0004216	D001289;D019955
GCST000261	Parkinson's disease (familial)	MONDO_0005180	D010300
GCST000266	Multiple sclerosis (severity)	MONDO_0005301	D009103
GCST000267	Multiple sclerosis (age of onset)	OBA_2001029	
GCST000280	Attention deficit hyperactivity disorder (time to onset)	EFO_0003888	D001289
GCST000330	Asthma (toluene diisocyanate-induced)	MONDO_0004979	D001249
GCST000340	Myocardial infarction (early onset)	EFO_0000612	D009203
GCST000348	Type 2 diabetes nephropathy	EFO_0000401	D003928
GCST000350	Bipolar disorder	MONDO_0004985	D001714
GCST000373	Stroke (ischemic)	EFO_0000712	D020521
GCST000387	Bipolar disorder	MONDO_0004985	D001714
GCST000390	Hypertension (young onset)	EFO_0004772	
GCST000417	Bipolar disorder	MONDO_0004985	D001714
GCST000426	Obesity (extreme)	EFO_0001073	D009765
GCST000449	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST000468	Asthma (childhood onset)	MONDO_0005405	
GCST000469	Obesity and osteoporosis	EFO_0001073;EFO_0003882	D009765;D010024
GCST000490	Parkinson's disease (age of onset)	OBA_2001009	
GCST000491	Myopia (pathological)	EFO_0004207	
GCST000551	Major depressive disorder (broad)	MONDO_0002009	D003865
GCST000557	Chronic hepatitis C infection	EFO_0004220	D019698
GCST000575	Osteoporosis-related phenotypes	EFO_0003882	D010024
GCST000577	Multiple sclerosis (severity)	MONDO_0005301	D009103
GCST000604	Chronic hepatitis C infection	EFO_0004220	D019698
GCST000637	Breast cancer (prognosis)	EFO_0000305	
GCST000640	Thyroid cancer (Papillary, radiation-related)	EFO_0002892	
GCST000641	Bipolar disorder or major depressive disorder	MONDO_0002009;MONDO_0004985	D003865;D001714
GCST000654	Bipolar I disorder	MONDO_0004985	D001714
GCST000663	Obesity (early onset extreme)	EFO_0001073	D009765
GCST000674	Bipolar disorder	MONDO_0004985	D001714
GCST000695	Migraine in psychiatric disorder	MONDO_0005277	D008881
GCST000698	Osteoporosis-related phenotypes	EFO_0003882	D010024
GCST000717	Cataracts in type 2 diabetes	EFO_0004596	
GCST000719	Alopecia areata	EFO_0004192	D000506
GCST000770	Emphysema-related traits	EFO_0000464	D011656
GCST000774	Schizophrenia, bipolar disorder and depression (combined)	EFO_0000677;MONDO_0002009;MONDO_0004985	D011618;D003865;D001714
GCST000779	Depression (quantitative trait)	MONDO_0002009	D003865
GCST000783	Multiple sclerosis--Brain Glutamate Levels	MONDO_0005301	D009103
GCST000793	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST000808	Alzheimer's disease (late onset)	MONDO_0004975	D000544
