TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
GCST012136	Hypertension in type 2 diabetes	EFO_0000537	D006973
GCST012153	Diarrhea in mesalamine-treated irritable bowel disease	HP_0002014;OBA_2040137	D003967
GCST012174	Diabetic retinopathy in type 2 diabetes	EFO_0003770	D003930
GCST012180	Cigarettes smoked per day in Schizophrenia	EFO_0006525	
GCST012288	Chronic hepatitis B infection vs asymptomatic persistence	EFO_0004239	D019694
GCST012290	Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction (3df)	EFO_0008343;MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012291	Schizophrenia, bipolar disorder or recurrent major depressive disorder	MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012292	Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction	EFO_0008343;MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012293	Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction (3df)	EFO_0008343;MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012294	Schizophrenia, bipolar disorder or recurrent major depressive disorder	MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012295	Schizophrenia, bipolar disorder or recurrent major depressive disorder x sex interaction	EFO_0008343;MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012296	Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)	EFO_0008343;MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012297	Schizophrenia, bipolar disorder or major depressive disorder	MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012298	Schizophrenia, bipolar disorder or major depressive disorder x sex interaction	EFO_0008343;MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012299	Schizophrenia, bipolar disorder or major depressive disorder x sex interaction (3df)	EFO_0008343;MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012300	Schizophrenia, bipolar disorder or major depressive disorder	MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012301	Schizophrenia, bipolar disorder or major depressive disorder x sex interaction	EFO_0008343;MONDO_0002009;MONDO_0004985;MONDO_0005090	D003865;D001714
GCST012305	Major depressive disorder x sex interaction	EFO_0008343;MONDO_0002009	D003865
GCST012306	Bipolar disorder	MONDO_0004985	D001714
GCST012307	Bipolar disorder x sex interaction	EFO_0008343;MONDO_0004985	D001714
GCST012310	Schizophrenia x sex interaction	EFO_0008343;MONDO_0005090	
GCST012311	Schizophrenia x sex interaction	EFO_0008343;MONDO_0005090	
GCST012339	Gout vs asymptomatic hyperuricemia	EFO_0004274	D006073
GCST012397	Multiple myeloma or monoclonal gammopathy of undetermined significance	EFO_0000203;EFO_0001378	D010265;D009101
GCST012429	Asthma (childhood onset)	MONDO_0005405	
GCST012443	Depression x maternal smoking during pregnancy interaction	MONDO_0002009;OBA_2050116	D003865
GCST012444	Depression x maternal smoking during pregnancy interaction	MONDO_0002009;OBA_2050116	D003865
GCST012451	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST012462	Asthma and eczema	HP_0000964;MONDO_0004979	D004485;D001249
GCST012463	Bipolar II disorder	EFO_0009964	
GCST012464	Bipolar I disorder	EFO_0009963	
GCST012465	Bipolar disorder	MONDO_0004985	D001714
GCST012579	ICD10 R55: Syncope and collapse	HP_0001279	D013575
GCST012696	Anorexia nervosa	MONDO_0005351	D000856
GCST012957	Attention deficit hyperactivity disorder, intelligence or educational attainment (pleiotropy)	EFO_0003888;EFO_0004337;EFO_0004784	D001289;D007360
GCST012976	Late-onset Alzheimer's disease or major depressive disorder (pleiotropy)	EFO_1001870;MONDO_0002009	D003865
GCST013036	Asthma exacerbations in inhaled corticosteroid treatment	EFO_0007614;GO_0031960	
GCST013037	Asthma exacerbations in inhaled corticosteroid treatment	EFO_0007614;GO_0031960	
GCST013038	Asthma exacerbations in inhaled corticosteroid treatment	EFO_0007614;GO_0031960	
GCST013039	Asthma exacerbations in inhaled corticosteroid treatment	EFO_0007614;GO_0031960	
GCST013196	Late-onset Alzheimer's disease	EFO_1001870	
GCST013197	Late-onset Alzheimer's disease	EFO_1001870	
GCST90000014	Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty)	MONDO_0005180	D010300
GCST90000015	Parkinson's disease motor subtype (tremor to postural instability/gait difficulty score ratio)	EFO_0600011	
GCST90000181	Type 1 diabetes with low genetic risk score	MONDO_0005147	D003922
GCST90006918	Herpes simplex virus 1 mgG-1 antibody levels	EFO_0009349	
GCST90006920	Herpes simplex virus 2 mgG-1 antibody levels	EFO_0009350	
GCST90011766	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST90011767	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST90011768	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST90011769	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST90011770	Glaucoma (primary open-angle)	EFO_0004190	D005902
GCST90012174	Atrial fibrillation (chronic vs. intermittent)	EFO_0000275	D001281
GCST90012877	Alzheimer's disease or family history of Alzheimer's disease	EFO_0009268;MONDO_0004975	D000544
GCST90013690	Chronic hepatitis B infection	EFO_0004239	D019694
GCST90013691	Chronic hepatitis C infection	EFO_0004220	D019698
GCST90013732	Chronic hepatitis B infection	EFO_0004239	D019694
GCST90013733	Chronic hepatitis C infection	EFO_0004220	D019698
GCST90013767	Chronic hepatitis B infection	EFO_0004239	D019694
GCST90013768	Chronic hepatitis C infection	EFO_0004220	D019698
GCST90013832	Alzheimer's disease or body fat percentage (pleiotropy)	EFO_0007800;MONDO_0004975	D000544
GCST90013833	Alzheimer's disease or BMI (pleiotropy)	EFO_0004340;MONDO_0004975	D015992;D000544
GCST90013834	Alzheimer's disease or coronary heart disease (pleiotropy)	EFO_0001645;MONDO_0004975	D017202;D000544
GCST90013835	Alzheimer's disease or diastolic blood pressure (pleiotropy)	EFO_0006336;MONDO_0004975	D000544
GCST90013836	Alzheimer's disease or HDL levels (pleiotropy)	EFO_0004612;MONDO_0004975	D000544
GCST90013837	Alzheimer's disease or LDL levels (pleiotropy)	EFO_0004611;MONDO_0004975	D000544
GCST90013838	Alzheimer's disease or systolic blood pressure (pleiotropy)	EFO_0006335;MONDO_0004975	D000544
GCST90013839	Alzheimer's disease or total cholesterol levels (pleiotropy)	EFO_0004574;MONDO_0004975	D000544
GCST90013840	Alzheimer's disease or triglycerides levels (pleiotropy)	EFO_0004530;MONDO_0004975	D000544
GCST90013841	Alzheimer's disease or type 2 diabetes (pleiotropy)	MONDO_0004975;MONDO_0005148	D000544;D003924
GCST90013842	Alzheimer's disease or waist-hip ratio (pleiotropy)	EFO_0004343;MONDO_0004975	D049629;D000544
GCST90013862	Colorectal cancer (Firth correction)	MONDO_0005575	
GCST90013865	Glaucoma (Firth correction)	MONDO_0005041	D005901
GCST90013866	Colorectal cancer (SPA correction)	MONDO_0005575	
GCST90013867	Thyroid cancer (SPA correction)	EFO_0002892	
GCST90013869	Glaucoma (SPA correction)	MONDO_0005041	D005901
GCST90013878	Depression (Firth correction)	MONDO_0002009	D003865
GCST90013888	Asthma (Firth correction)	MONDO_0004979	D001249
GCST90013889	Cholelithiasis gall stones (Firth correction)	EFO_0004210;EFO_0004799	D042882;D002769
GCST90013890	Urinary tract infection or kidney infection (Firth correction)	EFO_0003103	D014552
GCST90013892	Type 2 diabetes (Firth correction)	MONDO_0005148	D003924
GCST90013893	Hypothyroidism or myxoedema (Firth correction)	EFO_0004705;EFO_1001055	D007037;D009230
GCST90013895	Epilepsy (Firth correction)	EFO_0000474	D004827
GCST90013900	Bronchitis (Firth correction)	EFO_0009661	D001991
GCST90013902	Atrial fibrillation (Firth correction)	EFO_0000275	D001281
GCST90013903	Cystitis (Firth correction)	EFO_1000025	D003556
GCST90013915	Cataract (Firth correction)	MONDO_0005129	D002386
GCST90013917	Pain type(s) experienced in last month: Headache (UKB data field 6159_1) (Firth correction)	HP_0002315	D006261
GCST90013918	Pain type(s) experienced in last month: Hip pain (UKB data field 6159_6) (Firth correction)	HP_0030838	
GCST90013920	Allergic rhinitis (Firth correction)	EFO_0005854	
GCST90013921	Any parental history of Alzheimer's disease (Firth correction)	EFO_0009268	
GCST90013928	Depression (SPA correction)	MONDO_0002009	D003865
GCST90013934	Insomnia (SPA correction)	EFO_0004698	D007319
GCST90013935	Psoriasis (SPA correction)	EFO_0000676	D011565
GCST90013938	Asthma (SPA correction)	MONDO_0004979	D001249
GCST90013939	Cholelithiasis gall stones (SPA correction)	EFO_0004210;EFO_0004799	D042882;D002769
GCST90013940	Urinary tract infection or kidney infection (SPA correction)	EFO_0003103	D014552
GCST90013941	Type 1 diabetes (SPA correction)	MONDO_0005147	D003922
GCST90013942	Type 2 diabetes (SPA correction)	MONDO_0005148	D003924
GCST90013943	Hypothyroidism or myxoedema (SPA correction)	EFO_0004705;EFO_1001055	D007037;D009230
GCST90013945	Epilepsy (SPA correction)	EFO_0000474	D004827
GCST90013950	Bronchitis (SPA correction)	EFO_0009661	D001991
GCST90013952	Atrial fibrillation (SPA correction)	EFO_0000275	D001281
GCST90013953	Cystitis (SPA correction)	EFO_1000025	D003556
GCST90013965	Cataract (SPA correction)	MONDO_0005129	D002386
GCST90013967	Pain type(s) experienced in last month: Headache (UKB data field 6159_1) (SPA correction)	HP_0002315	D006261
GCST90013968	Pain type(s) experienced in last month: Hip pain (UKB data field 6159_6) (SPA correction)	HP_0030838	
GCST90013970	Allergic rhinitis (SPA correction)	EFO_0005854	
GCST90013971	Any parental history of Alzheimer's disease (SPA correction)	EFO_0009268	
GCST90017215	Adverse response to chemotherapy in colorectal cancer (XELOX) (Neutropenia)	EFO_0010978;MONDO_0001475	D009503
GCST90017216	Adverse response to chemotherapy in colorectal cancer (XELOX,Cetuximab) (Neutropenia)	EFO_0010978;MONDO_0001475	D009503
GCST90017217	Adverse response to chemotherapy in colorectal cancer (FOLFOX) (Neutropenia)	EFO_0010978;MONDO_0001475	D009503
GCST90017218	Adverse response to chemotherapy in colorectal cancer (FOLFOX,Cetuximab) (Neutropenia)	EFO_0010978;MONDO_0001475	D009503
GCST90017227	Adverse response to chemotherapy in colorectal cancer (FOLFOX) (Sepsis)	EFO_0010978;HP_0100806	
GCST90017228	Adverse response to chemotherapy in colorectal cancer (FOLFOX,Cetuximab) (Sepsis)	EFO_0010978;HP_0100806	
GCST90018576	Atrial fibrillation/atrial flutter	EFO_0000275	D001281
GCST90018584	Chronic hepatitis B infection	EFO_0004239	D019694
GCST90018585	Chronic hepatitis C infection	EFO_0004220	D019698
GCST90018637	Hearing loss, difficulty in hearing	EFO_0004238	D034381
GCST90018696	Sleep apnea syndrome	EFO_0003877	D012891
GCST90018796	Atrial fibrillation/atrial flutter	EFO_0000275	D001281
GCST90018804	Chronic hepatitis B infection	EFO_0004239	D019694
GCST90018805	Chronic hepatitis C infection	EFO_0004220	D019698
GCST90018857	Hearing loss, difficulty in hearing	EFO_0004238	D034381
GCST90018916	Sleep apnea syndrome	EFO_0003877	D012891
GCST90020050	Psychosis in Alzheimer's disease	EFO_0005940	
GCST90020093	Major depressive disorder (MTAG)	MONDO_0002009	D003865
GCST90020094	Bipolar disorder (MTAG)	MONDO_0004985	D001714
GCST90020095	Schizophrenia (MTAG)	MONDO_0005090	
GCST90020239	Stroke (ischemic)	HP_0002140	D000083242
GCST90020243	Stroke (hemorhagic)	EFO_0000712	D020521
GCST90026462	Breast cancer (estrogen-receptor positive)	EFO_1000649	
GCST90026463	Breast cancer (estrogen-receptor negative)	EFO_1000650	
GCST90026465	Breast cancer (estrogen-receptor positive)	EFO_1000649	
GCST90026466	Breast cancer (estrogen-receptor negative)	EFO_1000650	
GCST90026468	Breast cancer (estrogen-receptor positive)	EFO_1000649	
GCST90026469	Breast cancer (estrogen-receptor negative)	EFO_1000650	
GCST90026599	Late-onset Alzheimer's disease	EFO_1001870	
GCST90027230	Migraine age at onset (before 12 years vs after 12 years)	OBA_2001026	
GCST90027231	Migraine age at onset before 12 years (aura vs without aura)	OBA_2001026	
GCST90027232	Migraine age at onset after 12 years (aura vs without aura)	OBA_2001026	
GCST90027233	Migraine (age at onset)	OBA_2001026	
GCST90027234	Migraine with aura (age at onset)	OBA_2001027	
GCST90027235	Migraine without aura (age at onset)	OBA_2001028	
GCST90027272	Tinnitus in cranial radiation therapy-treated pediatric cancer survivors	EFO_0010950;HP_0000360	D014012
GCST90027273	Hearing loss in cranial radiation therapy-treated pediatric cancer survivors	EFO_0004238;EFO_0010950	D034381
GCST90027903	Emphysema in chronic obstructive pulmonary disease	EFO_0000464	D011656
GCST90029167	Tinnitus in noise exposure	HP_0000360	D014012
GCST90038617	Emphysema or chronic bronchitis	EFO_0000464;EFO_0006505	D011656;D029481
GCST90038629	Cholelithiasis or gall stones	EFO_0004210;EFO_0004799	D042882;D002769
GCST90038704	Fracture of upper limb or shoulder	EFO_0003931	D050723
GCST90038706	Fracture of pelvis or lower limb	EFO_0003931	D050723
GCST90041835	Neoplasm of uncertain behavior of breast	EFO_0003869	D001943
GCST90041878	Secondary malignant neoplasm of skin	EFO_0009812	
GCST90042665	Illnesses of father: Alzheimer's disease/dementia (UKB data field 20107_10)	EFO_0009268	
GCST90042668	Illnesses of father: Parkinson's disease (UKB data field 20107_11)	EFO_0000493;MONDO_0005180	D010300
GCST90042671	Illnesses of father: Stroke (UKB data field 20107_2)	EFO_0000493;EFO_0000712	D020521
GCST90042674	Illnesses of father: Chronic bronchitis/emphysema (UKB data field 20107_6)	EFO_0000464;EFO_0000493;EFO_0006505	D011656;D029481
GCST90042678	Illnesses of mother: Alzheimer's disease/dementia (UKB data field 20110_10)	EFO_0009268	
GCST90042681	Illnesses of mother: Parkinson's disease (UKB data field 20110_11)	EFO_0000493;MONDO_0005180	D010300
GCST90042683	Illnesses of mother: Stroke (UKB data field 20110_2)	EFO_0000493;EFO_0000712	D020521
GCST90042687	Illnesses of mother: Chronic bronchitis/emphysema (UKB data field 20110_6)	EFO_0000464;EFO_0000493;EFO_0006505	D011656;D029481
GCST90042691	Illnesses of siblings: Alzheimer's disease/dementia (UKB data field 20111_10)	EFO_0009268	
GCST90042694	Illnesses of siblings: Parkinson's disease (UKB data field 20111_11)	EFO_0000493;MONDO_0005180	D010300
GCST90042697	Illnesses of siblings: Stroke (UKB data field 20111_2)	EFO_0000493;EFO_0000712	D020521
GCST90042701	Illnesses of siblings: Chronic bronchitis/emphysema (UKB data field 20111_6)	EFO_0000464;EFO_0000493;EFO_0006505	D011656;D029481
GCST90042719	Bipolar and major depression status: Bipolar I Disorder (UKB data field 20126_1)	EFO_0009963	
GCST90042720	Bipolar and major depression status: Bipolar II Disorder (UKB data field 20126_2)	EFO_0009964	
GCST90042721	Bipolar and major depression status: Probable Recurrent major depression (severe) (UKB data field 20126_3)	MONDO_0002009	D003865
GCST90042722	Bipolar and major depression status: Probable Recurrent major depression (moderate) (UKB data field 20126_4)	MONDO_0002009	D003865
GCST90042723	Bipolar and major depression status: Single Probable major depression episode (UKB data field 20126_5)	MONDO_0002009	D003865
GCST90042758	Myeloid leukemia, acute	EFO_0000222	D015470
GCST90042759	Myeloid leukemia, chronic	EFO_0000339	
GCST90042784	Depression possibly related to childbirth (UKB data field 20445)	MONDO_0002009	D003865
GCST90042786	Depression possibly related to stressful or traumatic event (UKB data field 20447)	MONDO_0002009	D003865
GCST90043491	Job SOC coding: Painters and decorators (UKB data field 22617_5323)	EFO_0005241	
GCST90043626	Hypothyroidism, not otherwise specified	EFO_0004705	D007037
GCST90043627	Diabetes mellitus (UKB data field 2443)	EFO_0000400	D003920
GCST90043675	Iron deficiency anemias, unspecified or not due to blood loss	HP_0001891	D018798
GCST90043758	Other conditions of brain, not otherwise specified	EFO_0005774	D001927
GCST90043767	Back pain for three months (UKB data field 3571)	HP_0003418	D001416
GCST90043898	ICD10 C67.9: Malignant neoplasm of bladder, unspecified	MONDO_0001187	
GCST90043910	ICD10 C90.0: Multiple myeloma	EFO_0001378	D009101
GCST90043937	ICD10 D37.4: Benign neoplasm of colon	MONDO_0002278	
GCST90043938	ICD10 D41.4: Neoplasm of uncertain behavior of bladder	EFO_0000616	D009369
GCST90044034	Hypotension, not otherwise specified	EFO_0005251	D007022
GCST90044045	Shortness of breath walking on level ground (UKB data field 4717)	EFO_0009727	
GCST90044063	Tinnitus: Yes, now most or all of the time (UKB data field 4803_11)	HP_0000360	D014012
GCST90044064	Tinnitus: Yes, now a lot of the time (UKB data field 4803_12)	HP_0000360	D014012
GCST90044065	Tinnitus: Yes, now some of the time (UKB data field 4803_13)	HP_0000360	D014012
GCST90044066	Tinnitus: Yes, but not now, but have in the past (UKB data field 4803_14)	HP_0000360	D014012
GCST90044111	Stomatitis and mucositis (ulcerative)	EFO_1001047	D009059
GCST90044222	Renal failure, not otherwise specified	EFO_1002048	D051437
GCST90044335	Eye problems/disorders: Glaucoma (UKB data field 6148_2)	MONDO_0005041	D005901
GCST90044337	Eye problems/disorders: Cataract (UKB data field 6148_4)	MONDO_0005129	D002386
GCST90044342	Mouth/teeth dental problems: Painful gums (UKB data field 6149_2)	EFO_0009625;EFO_0009670	D005882
GCST90044350	Vascular/heart problems diagnosed by doctor: Stroke (UKB data field 6150_3)	EFO_0000712	D020521
GCST90044361	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Emphysema/chronic bronchitis (UKB data field 6152_6)	EFO_0000464;EFO_0006505	D011656;D029481
GCST90044363	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma (UKB data field 6152_8)	MONDO_0004979	D001249
GCST90044402	Pain type(s) experienced in last month: Headache (UKB data field 6159_1)	HP_0002315	D006261
GCST90044403	Pain type(s) experienced in last month: PHESANT recoding (UKB data field 6159_100)	EFO_0003843	D010146
GCST90044404	Pain type(s) experienced in last month: Facial pain (UKB data field 6159_2)	EFO_0009625	
GCST90044405	Pain type(s) experienced in last month: Neck or shoulder pain (UKB data field 6159_3)	HP_0030833;HP_0030834	D019547;D020069
GCST90044406	Pain type(s) experienced in last month: Back pain (UKB data field 6159_4)	HP_0003418	D001416
GCST90044407	Pain type(s) experienced in last month: Stomach or abdominal pain (UKB data field 6159_5)	HP_0002027	D015746
GCST90044408	Pain type(s) experienced in last month: Hip pain (UKB data field 6159_6)	HP_0030838	
GCST90044409	Pain type(s) experienced in last month: Knee pain (UKB data field 6159_7)	HP_0030839	
GCST90044410	Pain type(s) experienced in last month: Pain all over the body (UKB data field 6159_8)	EFO_0003843	D010146
GCST90044524	Other hypertrophic and atrophic conditions of skin	EFO_1001329	D005497
GCST90044541	Rheumatoid arthritis and other inflammatory polyarthropathies	EFO_0000685	D001172
GCST90044554	Intervertebral disc disorder with myelopathy	HP_0008419	D055959
GCST90044593	Osteoarthrosis, not otherwise specified	EFO_0004616	D020370
GCST90044600	Osteoporosis, not otherwise specified	EFO_0003882	D010024
GCST90044699	Late-onset Alzheimer's disease	EFO_1001870	
GCST90044891	Tinnitus (chronic, bothersome)	HP_0000360	D014012
GCST90044892	Tinnitus (chronic, bothersome)	HP_0000360	D014012
GCST90058030	Schizophrenia (SNP x SNP interaction)	MONDO_0005090	
GCST90061436	Breast cancer-specific survival	EFO_0000305;EFO_0000714	D013534
GCST90061437	Breast cancer-specific survival (ER positive)	EFO_0000714;EFO_1000649	D013534
GCST90061438	Breast cancer-specific survival (ER negative)	EFO_0000714;EFO_1000650	D013534
GCST90077626	Breast cancer (UKB data field 20001)	EFO_0000305	
GCST90077640	Basal cell carcinoma (UKB data field 20001)	EFO_0004193	D002280
GCST90077672	ICD10 J45: Asthma	MONDO_0004979	D001249
GCST90078306	Bipolar disorder status - Bipolar Type I Mania (UKB data field 20122)	MONDO_0004985	D001714
GCST90078307	Bipolar disorder status - Bipolar Type II Hypomania (UKB data field 20122)	MONDO_0004985	D001714
GCST90078312	Bipolar and major depression status - Probable Recurrent major depression moderate (UKB data field 20126)	MONDO_0002009	D003865
GCST90078393	Myopia diagnosis - moderate low myopia (UKB data field 20262)	HP_0000545	D009216
GCST90078466	Depression possibly related to childbirth (UKB data field 20445)	MONDO_0002009	D003865
GCST90078468	Depression possibly related to stressful or traumatic event (UKB data field 20447)	MONDO_0002009	D003865
GCST90078637	Depression (UKB data field 20544)	MONDO_0002009	D003865
GCST90078862	Asthma (UKB data field 22127)	MONDO_0004979	D001249
GCST90078872	Cough on most days (UKB data field 22502)	HP_0012735	D003371
GCST90079063	Back pain for three months (UKB data field 3571)	HP_0003418	D001416
GCST90079217	Shortness of breath walking on level ground (UKB data field 4717)	EFO_0009727	
GCST90079222	Tinnitus - Yes now some of the time (UKB data field 4803)	HP_0000360	D014012
GCST90079223	Tinnitus - Yes but not now but have in the past (UKB data field 4803)	HP_0000360	D014012
GCST90079225	Tinnitus severity nuisance - Moderately (UKB data field 4814)	HP_0000360	D014012
GCST90079226	Tinnitus severity nuisance - Slightly (UKB data field 4814)	HP_0000360	D014012
GCST90079227	Tinnitus severity nuisance - Not at all (UKB data field 4814)	HP_0000360	D014012
GCST90079271	Astigmatism angle right (UKB data field 5088)	HP_0000483	D001251
GCST90079272	Astigmatism angle left (UKB data field 5089)	HP_0000483	D001251
GCST90079345	Amblyopia - right eye (UKB data field 5408)	MONDO_0001020	D000550
GCST90079346	Amblyopia - left eye (UKB data field 5408)	MONDO_0001020	D000550
GCST90079347	Cataract - right eye (UKB data field 5441)	MONDO_0005129	D002386
GCST90079348	Cataract - left eye (UKB data field 5441)	MONDO_0005129	D002386
GCST90079349	Cataract - both eyes (UKB data field 5441)	MONDO_0005129	D002386
GCST90079358	Leg pain on walking - effect of standing still - Pain usually continues for more than 10 minutes (UKB data field 5518)	HP_0012514	
GCST90079359	Leg pain on walking - effect of standing still - Pain usually disappears in less than 10 minutes (UKB data field 5518)	HP_0012514	
GCST90079366	Presbyopia - both eyes (UKB data field 5610)	MONDO_0001330	D011305
GCST90079390	Myopia - both eyes (UKB data field 5843)	HP_0000545	D009216
GCST90079391	Astigmatism - right eye (UKB data field 5855)	HP_0000483	D001251
GCST90079392	Astigmatism - left eye (UKB data field 5855)	HP_0000483	D001251
GCST90079393	Astigmatism - both eyes (UKB data field 5855)	HP_0000483	D001251
GCST90079429	Glaucoma - both eyes (UKB data field 6119)	MONDO_0005041	D005901
GCST90079431	Glaucoma (UKB data field 6148)	MONDO_0005041	D005901
GCST90079433	Cataract (UKB data field 6148)	MONDO_0005129	D002386
GCST90079456	Asthma (UKB data field 6152)	MONDO_0004979	D001249
GCST90079478	Pain types experienced in last month - Headache (UKB data field 6159)	EFO_0003843	D010146
GCST90079480	Pain types experienced in last month - Neck or shoulder pain (UKB data field 6159)	EFO_0003843	D010146
GCST90079481	Pain types experienced in last month - Back pain (UKB data field 6159)	EFO_0003843	D010146
GCST90079482	Pain types experienced in last month - Stomach or abdominal pain (UKB data field 6159)	EFO_0003843	D010146
GCST90079483	Pain types experienced in last month - Hip pain (UKB data field 6159)	EFO_0003843	D010146
GCST90079484	Pain types experienced in last month - Knee pain (UKB data field 6159)	EFO_0003843	D010146
GCST90079763	ICD10 E66.9: Obesity, unspecified	EFO_0001073	D009765
GCST90080141	ICD10 J45: Asthma	MONDO_0004979	D001249
GCST90080208	ICD10 K29: Gastritis and duodenitis	EFO_0000217	D005756
GCST90080779	ICD10 R07: Pain in throat and chest	HP_0100749	D002637
GCST90081452	Anisometropia (first instance)	HP_0012803	D015858
GCST90081454	Anisometropia - started wearing glasses or contacts before 40	HP_0012803	D015858
GCST90081459	Asthma vs allergic disease	MONDO_0004979	D001249
GCST90081460	Asthma strict	MONDO_0004979	D001249
GCST90081518	Type 2 diabetes Ophthalmopathy	EFO_0009486	
GCST90081540	Hearing loss noise exposure strict	EFO_1001254	D006317
GCST90081612	Breast cancer (UKB data field 20001) (Gene-based burden)	EFO_0000305	
GCST90081613	Skin cancer (UKB data field 20001) (Gene-based burden)	EFO_0004198	D012878
GCST90081615	Colon cancer / sigmoid cancer (UKB data field 20001) (Gene-based burden)	EFO_1001950	
GCST90081626	Basal cell carcinoma (UKB data field 20001) (Gene-based burden)	EFO_0004193	D002280
GCST90081627	Squamous cell carcinoma (UKB data field 20001) (Gene-based burden)	EFO_0000707	D002294
GCST90081631	Hypertension (Gene-based burden)	EFO_0000537	D006973
GCST90081635	Peripheral vascular disease (Gene-based burden)	EFO_0003875	D016491
GCST90081637	Essential hypertension (Gene-based burden)	MONDO_0001134	D000075222
GCST90081649	Stroke (Gene-based burden)	EFO_0000712	D020521
GCST90081657	Asthma (Gene-based burden)	MONDO_0004979	D001249
GCST90081658	ICD10 J45: Asthma (Gene-based burden)	MONDO_0004979	D001249
GCST90081661	Emphysema chronic bronchitis (Gene-based burden)	EFO_0000464	D011656
GCST90081663	Bronchiectasis (Gene-based burden)	MONDO_0004822	D001987
GCST90081664	ICD10 J47: Bronchiectasis (Gene-based burden)	MONDO_0004822	D001987
GCST90081696	Urinary tract infection or kidney infection (Gene-based burden)	EFO_0003103	D014552
GCST90081697	ICD10 N390: Urinary tract infection or kidney infection (Gene-based burden)	EFO_0003103	D014552
GCST90081710	Type 2 diabetes (Gene-based burden)	MONDO_0005148	D003924
GCST90081716	Hypothyroidism or myxoedema (Gene-based burden)	EFO_0004705;EFO_1001055	D007037;D009230
GCST90081717	ICD10 E03: Hypothyroidism or myxoedema (Gene-based burden)	EFO_0004705;EFO_1001055	D007037;D009230
GCST90081720	Meningitis (Gene-based burden)	EFO_0000584	D008581
GCST90081725	Multiple sclerosis (Gene-based burden)	MONDO_0005301	D009103
GCST90081726	ICD10 G35: Multiple sclerosis (Gene-based burden)	MONDO_0005301	D009103
GCST90081729	Epilepsy (Gene-based burden)	EFO_0000474	D004827
GCST90081731	Migraine (Gene-based burden)	MONDO_0005277	D008881
GCST90081732	ICD10 G43: Migraine (Gene-based burden)	MONDO_0005277	D008881
GCST90081740	Glaucoma (Gene-based burden)	MONDO_0005041	D005901
GCST90081741	ICD10 H40: Glaucoma (Gene-based burden)	MONDO_0005041	D005901
GCST90081742	Cataract (Gene-based burden)	MONDO_0005129	D002386
GCST90081747	Depression (Gene-based burden)	MONDO_0002009	D003865
GCST90081763	Osteomyelitis (Gene-based burden)	EFO_0003102	D010019
GCST90081764	ICD10 M86: Osteomyelitis (Gene-based burden)	EFO_0003102	D010019
GCST90081765	Osteoporosis (Gene-based burden)	EFO_0003882	D010024
GCST90081771	Ankylosing spondylitis (Gene-based burden)	EFO_0003898	D013167
GCST90081779	Ovarian cyst or cysts (Gene-based burden)	HP_0000138	D010048
GCST90081781	Polycystic ovaries polycystic ovarian syndrome (Gene-based burden)	EFO_0000660	D011085
GCST90081790	Sarcoidosis (Gene-based burden)	MONDO_0019338	D012507
GCST90081805	Pneumonia (Gene-based burden)	EFO_0003106	D011014
GCST90081807	Endometriosis (Gene-based burden)	EFO_0001065	D004715
GCST90081808	ICD10 N80: Endometriosis (Gene-based burden)	EFO_0001065	D004715
GCST90081816	Bronchitis (Gene-based burden)	EFO_1002018	D001982
GCST90081822	Chronic sinusitis (Gene-based burden)	EFO_0007486	D012852
GCST90081823	ICD10 J32: Chronic sinusitis (Gene-based burden)	EFO_0007486	D012852
GCST90081824	Nasal polyps (Gene-based burden)	EFO_1000391	D009298
GCST90081832	Tuberculosis (Gene-based burden)	MONDO_0018076	D014376
GCST90081841	Psoriasis (Gene-based burden)	EFO_0000676	D011565
GCST90081842	ICD10 L40: Psoriasis (Gene-based burden)	EFO_0000676	D011565
GCST90081843	Blistering desquamating skin disorder (Gene-based burden)	EFO_0000701	D012871
